full_text,tokens,processed_text
forum ilmiah internasional diselenggarakan di bali membahas perkembangan implementasi obe di kawasan asia tenggara,"['forum', 'ilmiah', 'internasional', 'selenggara', 'bal', 'bahas', 'kembang', 'implementasi', 'obe', 'kawasan', 'asia', 'tenggara']",forum ilmiah internasional selenggara bal bahas kembang implementasi obe kawasan asia tenggara
direktur pascasarjana unpad menekankan pentingnya mengintegrasikan riset dalam kurikulum berbasis hasil,"['direktur', 'pascasarjana', 'unpad', 'tekan', 'integrasi', 'riset', 'kurikulum', 'basis', 'hasil']",direktur pascasarjana unpad tekan integrasi riset kurikulum basis hasil
jurnal educational measurement and evaluation mempublikasikan hasil riset efektivitas obe di 15 negara berkembang,"['jurnal', 'educational', 'measurement', 'and', 'evaluation', 'publikasi', 'hasil', 'riset', 'efektivitas', 'obe', '15', 'negara', 'kembang']",jurnal educational measurement and evaluation publikasi hasil riset efektivitas obe 15 negara kembang
departemen ilmu komunikasi fisip ui mengembangkan model assessment obe yang berfokus pada project based learning,"['departemen', 'ilmu', 'komunikasi', 'fisip', 'ui', 'kembang', 'model', 'assessment', 'obe', 'fokus', 'project', 'based', 'learning']",departemen ilmu komunikasi fisip ui kembang model assessment obe fokus project based learning
obe memungkinkan perguruan tinggi mencetak lulusan dengan keunggulan kompetitif yang dibutuhkan dalam era industri 40,"['obe', 'guru', 'cetak', 'lulus', 'unggul', 'kompetitif', 'butuh', 'era', 'industri', '40']",obe guru cetak lulus unggul kompetitif butuh era industri 40
fakultas seni rupa dan desain itb mengadaptasi kurikulum berbasis hasil yang tetap mempertahankan kreativitas dan ekspresi,"['fakultas', 'seni', 'rupa', 'desain', 'itb', 'adaptasi', 'kurikulum', 'basis', 'hasil', 'tahan', 'kreativitas', 'ekspresi']",fakultas seni rupa desain itb adaptasi kurikulum basis hasil tahan kreativitas ekspresi
universitas telkom mendokumentasikan transformasi kurikulum dari kbk menuju obe dalam white paper pendidikan tinggi,"['universitas', 'telkom', 'dokumentasi', 'transformasi', 'kurikulum', 'kbk', 'obe', 'white', 'paper', 'didik']",universitas telkom dokumentasi transformasi kurikulum kbk obe white paper didik
metode assessment peer review sangat efektif dalam implementasi kurikulum berbasis hasil untuk mengukur soft skills,"['metode', 'assessment', 'peer', 'review', 'efektif', 'implementasi', 'kurikulum', 'basis', 'hasil', 'ukur', 'soft', 'skills']",metode assessment peer review efektif implementasi kurikulum basis hasil ukur soft skills
direktorat pembelajaran dan kemahasiswaan dikti meninjau implementasi obe di 50 perguruan tinggi seluruh indonesia,"['direktorat', 'ajar', 'mahasiswa', 'dikti', 'tinjau', 'implementasi', 'obe', '50', 'guru', 'indonesia']",direktorat ajar mahasiswa dikti tinjau implementasi obe 50 guru indonesia
penerapan kurikulum berbasis hasil di program studi akuntansi meningkatkan serapan lulusan di big four accounting firms,"['terap', 'kurikulum', 'basis', 'hasil', 'program', 'studi', 'akuntansi', 'tingkat', 'serap', 'lulus', 'big', 'four', 'accounting', 'firms']",terap kurikulum basis hasil program studi akuntansi tingkat serap lulus big four accounting firms
forum komunikasi dekan fakultas teknik indonesia sepakat menggunakan standar obe yang sama untuk memudahkan credit transfer,"['forum', 'komunikasi', 'dekan', 'fakultas', 'teknik', 'indonesia', 'sepakat', 'standar', 'obe', 'mudah', 'credit', 'transfer']",forum komunikasi dekan fakultas teknik indonesia sepakat standar obe mudah credit transfer
pendidikan berbasis hasil memungkinkan mahasiswa membangun portofolio kompetensi yang lebih diakui dunia kerja,"['didik', 'basis', 'hasil', 'mahasiswa', 'bangun', 'portofolio', 'kompetensi', 'aku', 'dunia', 'kerja']",didik basis hasil mahasiswa bangun portofolio kompetensi aku dunia kerja
lp2mp universitas hasanuddin mengembangkan model pelatihan berjenjang untuk implementasi obe yang berkelanjutan,"['lp2mp', 'universitas', 'hasanuddin', 'kembang', 'model', 'latih', 'jenjang', 'implementasi', 'obe', 'lanjut']",lp2mp universitas hasanuddin kembang model latih jenjang implementasi obe lanjut
jurnal asean studies in education menerbitkan edisi khusus tentang implementasi obe di negara negara asean,"['jurnal', 'asean', 'studies', 'in', 'education', 'terbit', 'edisi', 'khusus', 'implementasi', 'obe', 'negara', 'negara', 'asean']",jurnal asean studies in education terbit edisi khusus implementasi obe negara negara asean
pendidikan berbasis hasil meningkatkan kesadaran mahasiswa terhadap relevansi pembelajaran dengan kebutuhan dunia kerja,"['didik', 'basis', 'hasil', 'tingkat', 'sadar', 'mahasiswa', 'relevansi', 'ajar', 'butuh', 'dunia', 'kerja']",didik basis hasil tingkat sadar mahasiswa relevansi ajar butuh dunia kerja
institut pertanian bogor mengintegrasikan sustainable development goals dalam kurikulum berbasis hasil seluruh prodi,"['institut', 'tani', 'bogor', 'integrasi', 'sustainable', 'development', 'goals', 'kurikulum', 'basis', 'hasil', 'prodi']",institut tani bogor integrasi sustainable development goals kurikulum basis hasil prodi
department of mechanical engineering university of the philippines berbagi pengalaman implementasi obe pada webinar internasional,"['department', 'of', 'mechanical', 'engineering', 'university', 'of', 'the', 'philippines', 'bagi', 'alam', 'implementasi', 'obe', 'webinar', 'internasional']",department of mechanical engineering university of the philippines bagi alam implementasi obe webinar internasional
program studi ilmu kedokteran gigi universitas airlangga mengimplementasikan obe dengan pendekatan case based learning,"['program', 'studi', 'ilmu', 'dokter', 'gigi', 'universitas', 'airlangga', 'implementasi', 'obe', 'dekat', 'case', 'based', 'learning']",program studi ilmu dokter gigi universitas airlangga implementasi obe dekat case based learning
balai pengembangan pendidikan tinggi kemendikbud menyelenggarakan training of trainers implementasi obe tingkat nasional,"['balai', 'kembang', 'didik', 'kemendikbud', 'selenggara', 'training', 'of', 'trainers', 'implementasi', 'obe', 'tingkat', 'nasional']",balai kembang didik kemendikbud selenggara training of trainers implementasi obe tingkat nasional
transformasi digital pendidikan tinggi membuka peluang implementasi obe yang lebih fleksibel dan measurable,"['transformasi', 'digital', 'didik', 'buka', 'peluang', 'implementasi', 'obe', 'fleksibel', 'measurable']",transformasi digital didik buka peluang implementasi obe fleksibel measurable
asosiasi perguruan tinggi komunikasi indonesia menyusun guideline implementasi obe untuk prodi ilmu komunikasi,"['asosiasi', 'guru', 'komunikasi', 'indonesia', 'susun', 'guideline', 'implementasi', 'obe', 'prodi', 'ilmu', 'komunikasi']",asosiasi guru komunikasi indonesia susun guideline implementasi obe prodi ilmu komunikasi
pendidikan berbasis hasil menekankan competency development dibandingkan content mastery yang lebih tradisional,"['didik', 'basis', 'hasil', 'tekan', 'competency', 'development', 'banding', 'content', 'mastery', 'tradisional']",didik basis hasil tekan competency development banding content mastery tradisional
universitas negeri malang mengintegrasikan internship program dalam implementasi kurikulum berbasis hasil,"['universitas', 'negeri', 'malang', 'integrasi', 'internship', 'program', 'implementasi', 'kurikulum', 'basis', 'hasil']",universitas negeri malang integrasi internship program implementasi kurikulum basis hasil
penelitian oleh mckinsey education menunjukkan korelasi positif antara implementasi obe dengan tingkat kepuasan employer,"['teliti', 'mckinsey', 'education', 'korelasi', 'positif', 'implementasi', 'obe', 'tingkat', 'puas', 'employer']",teliti mckinsey education korelasi positif implementasi obe tingkat puas employer
fakultas ilmu budaya universitas brawijaya mengembangkan model obe yang adaptif untuk bidang humaniora,"['fakultas', 'ilmu', 'budaya', 'universitas', 'brawijaya', 'kembang', 'model', 'obe', 'adaptif', 'bidang', 'humaniora']",fakultas ilmu budaya universitas brawijaya kembang model obe adaptif bidang humaniora
dekan ftui menyampaikan obe telah membantu fakultas teknik ui mendapatkan akreditasi abet untuk seluruh program studi,"['dekan', 'ftui', 'obe', 'bantu', 'fakultas', 'teknik', 'ui', 'akreditasi', 'abet', 'program', 'studi']",dekan ftui obe bantu fakultas teknik ui akreditasi abet program studi
program studi teknik lingkungan undip berhasil mengintegrasikan community service dalam kurikulum berbasis hasil,"['program', 'studi', 'teknik', 'lingkung', 'undip', 'hasil', 'integrasi', 'community', 'service', 'kurikulum', 'basis', 'hasil']",program studi teknik lingkung undip hasil integrasi community service kurikulum basis hasil
evaluasi ketercapaian cpl pada implementasi kurikulum berbasis hasil memerlukan sistem informasi yang andal,"['evaluasi', 'capai', 'cpl', 'implementasi', 'kurikulum', 'basis', 'hasil', 'sistem', 'informasi', 'andal']",evaluasi capai cpl implementasi kurikulum basis hasil sistem informasi andal
fakultas ekonomi dan bisnis universitas indonesia menerapkan obe dengan metode case study dan business simulation,"['fakultas', 'ekonomi', 'bisnis', 'universitas', 'indonesia', 'terap', 'obe', 'metode', 'case', 'study', 'business', 'simulation']",fakultas ekonomi bisnis universitas indonesia terap obe metode case study business simulation
akademi komunitas manufaktur bantaeng menjadi percontohan implementasi kurikulum berbasis hasil untuk pendidikan vokasi,"['akademi', 'komunitas', 'manufaktur', 'bantaeng', 'contoh', 'implementasi', 'kurikulum', 'basis', 'hasil', 'didik', 'vokasi']",akademi komunitas manufaktur bantaeng contoh implementasi kurikulum basis hasil didik vokasi
fakultas ilmu sosial dan politik ugm menerapkan obe dengan pendekatan problem based learning multidisiplin,"['fakultas', 'ilmu', 'sosial', 'politik', 'ugm', 'terap', 'obe', 'dekat', 'problem', 'based', 'learning', 'multidisiplin']",fakultas ilmu sosial politik ugm terap obe dekat problem based learning multidisiplin
perguruan tinggi harus melakukan tracer study secara berkala untuk mengevaluasi efektivitas kurikulum berbasis hasil,"['guru', 'tracer', 'study', 'kala', 'evaluasi', 'efektivitas', 'kurikulum', 'basis', 'hasil']",guru tracer study kala evaluasi efektivitas kurikulum basis hasil
implementasi kurikulum berbasis hasil membutuhkan dukungan infrastruktur digital seperti lms dan sistem assessment online,"['implementasi', 'kurikulum', 'basis', 'hasil', 'butuh', 'dukung', 'infrastruktur', 'digital', 'lms', 'sistem', 'assessment', 'online']",implementasi kurikulum basis hasil butuh dukung infrastruktur digital lms sistem assessment online
direktorat jenderal pendidikan vokasi menerbitkan pedoman implementasi obe untuk politeknik negeri se indonesia,"['direktorat', 'jenderal', 'didik', 'vokasi', 'terbit', 'pedoman', 'implementasi', 'obe', 'politeknik', 'negeri', 'indonesia']",direktorat jenderal didik vokasi terbit pedoman implementasi obe politeknik negeri indonesia
pengembangan kurikulum berbasis hasil membutuhkan pemetaan kebutuhan kompetensi industri minimal lima tahun ke depan,"['kembang', 'kurikulum', 'basis', 'hasil', 'butuh', 'meta', 'butuh', 'kompetensi', 'industri', 'minimal']",kembang kurikulum basis hasil butuh meta butuh kompetensi industri minimal
pendidikan berbasis hasil mendorong mahasiswa untuk taking ownership atas proses pembelajaran mereka,"['didik', 'basis', 'hasil', 'dorong', 'mahasiswa', 'taking', 'ownership', 'proses', 'ajar']",didik basis hasil dorong mahasiswa taking ownership proses ajar
universitas andalas mengimplementasikan kurikulum berbasis hasil dengan pendekatan sociopreneurship sebagai diferensiasi,"['universitas', 'andalas', 'implementasi', 'kurikulum', 'basis', 'hasil', 'dekat', 'sociopreneurship', 'diferensiasi']",universitas andalas implementasi kurikulum basis hasil dekat sociopreneurship diferensiasi
lulusan dari program studi yang menerapkan obe secara konsisten memiliki starting salary 25 lebih tinggi,"['lulus', 'program', 'studi', 'terap', 'obe', 'konsisten', 'milik', 'starting', 'salary', '25']",lulus program studi terap obe konsisten milik starting salary 25
pusat kurikulum universitas airlangga mengembangkan sistem monitoring dan evaluasi implementasi obe berbasis digital,"['pusat', 'kurikulum', 'universitas', 'airlangga', 'kembang', 'sistem', 'monitoring', 'evaluasi', 'implementasi', 'obe', 'basis', 'digital']",pusat kurikulum universitas airlangga kembang sistem monitoring evaluasi implementasi obe basis digital
program studi teknik biomedis itb mengintegrasikan hospital based practice dalam kurikulum berbasis hasil,"['program', 'studi', 'teknik', 'biomedis', 'itb', 'integrasi', 'hospital', 'based', 'practice', 'kurikulum', 'basis', 'hasil']",program studi teknik biomedis itb integrasi hospital based practice kurikulum basis hasil
implementasi kurikulum berbasis hasil mendorong peningkatan collaborative research antara dosen dan mahasiswa,"['implementasi', 'kurikulum', 'basis', 'hasil', 'dorong', 'tingkat', 'collaborative', 'research', 'dosen', 'mahasiswa']",implementasi kurikulum basis hasil dorong tingkat collaborative research dosen mahasiswa
unescoihe bekerja sama dengan undip dalam mengembangkan model implementasi obe untuk program studi teknik lingkungan,"['unescoihe', 'undip', 'kembang', 'model', 'implementasi', 'obe', 'program', 'studi', 'teknik', 'lingkung']",unescoihe undip kembang model implementasi obe program studi teknik lingkung
pendidikan berbasis hasil menuntut adanya constructive alignment antara learning outcome teaching dan assessment,"['didik', 'basis', 'hasil', 'tuntut', 'constructive', 'alignment', 'learning', 'outcome', 'teaching', 'assessment']",didik basis hasil tuntut constructive alignment learning outcome teaching assessment
implementasi obe pada program studi hukum membutuhkan keterlibatan praktisi hukum dalam perumusan kompetensi,"['implementasi', 'obe', 'program', 'studi', 'hukum', 'butuh', 'libat', 'praktisi', 'hukum', 'rumus', 'kompetensi']",implementasi obe program studi hukum butuh libat praktisi hukum rumus kompetensi
universitas syiah kuala mengembangkan rubrik assessment yang komprehensif untuk implementasi kurikulum berbasis hasil,"['universitas', 'syiah', 'kuala', 'kembang', 'rubrik', 'assessment', 'komprehensif', 'implementasi', 'kurikulum', 'basis', 'hasil']",universitas syiah kuala kembang rubrik assessment komprehensif implementasi kurikulum basis hasil
implementasi obe di perguruan tinggi vokasi memerlukan perubahan desain pembelajaran yang lebih kontekstual,"['implementasi', 'obe', 'guru', 'vokasi', 'ubah', 'desain', 'ajar', 'kontekstual']",implementasi obe guru vokasi ubah desain ajar kontekstual
world bank education mendukung implementasi kurikulum berbasis hasil di perguruan tinggi indonesia melalui grant program,"['world', 'bank', 'education', 'dukung', 'implementasi', 'kurikulum', 'basis', 'hasil', 'guru', 'indonesia', 'grant', 'program']",world bank education dukung implementasi kurikulum basis hasil guru indonesia grant program
learning outcome harus dirumuskan dengan pendekatan smart specific measurable achievable relevant dan time bound,"['learning', 'outcome', 'rumus', 'dekat', 'smart', 'specific', 'measurable', 'achievable', 'relevant', 'time', 'bound']",learning outcome rumus dekat smart specific measurable achievable relevant time bound
dekan fakultas kedokteran unair menyatakan implementasi obe meningkatkan kelulusan uji kompetensi dokter hingga 95,"['dekan', 'fakultas', 'dokter', 'unair', 'implementasi', 'obe', 'tingkat', 'kelulus', 'uji', 'kompetensi', 'dokter', '95']",dekan fakultas dokter unair implementasi obe tingkat kelulus uji kompetensi dokter 95
persatuan insinyur indonesia berpartisipasi aktif dalam perumusan learning outcome untuk program studi teknik,"['satu', 'insinyur', 'indonesia', 'partisipasi', 'aktif', 'rumus', 'learning', 'outcome', 'program', 'studi', 'teknik']",satu insinyur indonesia partisipasi aktif rumus learning outcome program studi teknik
implementasi kurikulum berbasis hasil membutuhkan workplace integrated learning untuk meningkatkan relevansi,"['implementasi', 'kurikulum', 'basis', 'hasil', 'butuh', 'workplace', 'integrated', 'learning', 'tingkat', 'relevansi']",implementasi kurikulum basis hasil butuh workplace integrated learning tingkat relevansi
pendidikan berbasis hasil menuntut perubahan peran dosen menjadi fasilitator pembelajaran bukan hanya sumber informasi,"['didik', 'basis', 'hasil', 'tuntut', 'ubah', 'peran', 'dosen', 'fasilitator', 'ajar', 'sumber', 'informasi']",didik basis hasil tuntut ubah peran dosen fasilitator ajar sumber informasi
program studi matematika ugm mengintegrasikan computational thinking dalam implementasi kurikulum berbasis hasil,"['program', 'studi', 'matematika', 'ugm', 'integrasi', 'computational', 'thinking', 'implementasi', 'kurikulum', 'basis', 'hasil']",program studi matematika ugm integrasi computational thinking implementasi kurikulum basis hasil
forum dekan fakultas kesehatan masyarakat indonesia sepakat menyelaraskan kurikulum berbasis hasil secara nasional,"['forum', 'dekan', 'fakultas', 'sehat', 'masyarakat', 'indonesia', 'sepakat', 'selaras', 'kurikulum', 'basis', 'hasil', 'nasional']",forum dekan fakultas sehat masyarakat indonesia sepakat selaras kurikulum basis hasil nasional
implementasi kurikulum berbasis hasil membutuhkan dukungan perpustakaan digital dan akses ke jurnal internasional,"['implementasi', 'kurikulum', 'basis', 'hasil', 'butuh', 'dukung', 'pustaka', 'digital', 'akses', 'jurnal', 'internasional']",implementasi kurikulum basis hasil butuh dukung pustaka digital akses jurnal internasional
program studi manajemen sbm itb mengimplementasikan obe dengan pendekatan business simulation dan entrepreneurial project,"['program', 'studi', 'manajemen', 'sbm', 'itb', 'implementasi', 'obe', 'dekat', 'business', 'simulation', 'entrepreneurial', 'project']",program studi manajemen sbm itb implementasi obe dekat business simulation entrepreneurial project
lulusan dari perguruan tinggi yang menerapkan obe memiliki employability lebih tinggi berdasarkan survey heidrick and struggles,"['lulus', 'guru', 'terap', 'obe', 'milik', 'employability', 'dasar', 'survey', 'heidrick', 'and', 'struggles']",lulus guru terap obe milik employability dasar survey heidrick and struggles
pusat penjaminan mutu universitas hasanuddin mengembangkan instrumen monitoring implementasi obe berbasis aplikasi,"['pusat', 'jamin', 'mutu', 'universitas', 'hasanuddin', 'kembang', 'instrumen', 'monitoring', 'implementasi', 'obe', 'basis', 'aplikasi']",pusat jamin mutu universitas hasanuddin kembang instrumen monitoring implementasi obe basis aplikasi
pengembangan kurikulum berbasis hasil melibatkan tahapan need assessment development implementation dan evaluation,"['kembang', 'kurikulum', 'basis', 'hasil', 'libat', 'tahap', 'need', 'assessment', 'development', 'implementation', 'evaluation']",kembang kurikulum basis hasil libat tahap need assessment development implementation evaluation
pendidikan berbasis hasil memungkinkan pengembangan microcredentials yang diakui industri selain ijazah formal,"['didik', 'basis', 'hasil', 'kembang', 'microcredentials', 'aku', 'industri', 'ijazah', 'formal']",didik basis hasil kembang microcredentials aku industri ijazah formal
indonesian medical education association menyusun blueprint implementasi obe untuk fakultas kedokteran se indonesia,"['indonesian', 'medical', 'education', 'association', 'susun', 'blueprint', 'implementasi', 'obe', 'fakultas', 'dokter', 'indonesia']",indonesian medical education association susun blueprint implementasi obe fakultas dokter indonesia
implementasi obe mendorong peningkatan kualitas publikasi ilmiah mahasiswa berdasarkan data scopus 2024,"['implementasi', 'obe', 'dorong', 'tingkat', 'kualitas', 'publikasi', 'ilmiah', 'mahasiswa', 'dasar', 'data', 'scopus', '2024']",implementasi obe dorong tingkat kualitas publikasi ilmiah mahasiswa dasar data scopus 2024
program studi hubungan internasional unair mengimplementasikan obe dengan metode simulation dan role playing,"['program', 'studi', 'hubung', 'internasional', 'unair', 'implementasi', 'obe', 'metode', 'simulation', 'role', 'playing']",program studi hubung internasional unair implementasi obe metode simulation role playing
balitbang kemendikbud menyelenggarakan pilot project implementasi obe dengan pendekatan blended learning,"['balitbang', 'kemendikbud', 'selenggara', 'pilot', 'project', 'implementasi', 'obe', 'dekat', 'blended', 'learning']",balitbang kemendikbud selenggara pilot project implementasi obe dekat blended learning
pendidikan berbasis hasil relevan dengan konsep education 40 yang menekankan pada personalized learning,"['didik', 'basis', 'hasil', 'relevan', 'konsep', 'education', '40', 'tekan', 'personalized', 'learning']",didik basis hasil relevan konsep education 40 tekan personalized learning
pusat peningkatan kualitas pembelajaran uns mengembangkan platform course design berbasis obe untuk semua dosen,"['pusat', 'tingkat', 'kualitas', 'ajar', 'uns', 'kembang', 'platform', 'course', 'design', 'basis', 'obe', 'dosen']",pusat tingkat kualitas ajar uns kembang platform course design basis obe dosen
implementasi kurikulum berbasis hasil memerlukan pembelajaran berpusat pada mahasiswa yang kolaboratif dan inklusif,"['implementasi', 'kurikulum', 'basis', 'hasil', 'ajar', 'pusat', 'mahasiswa', 'kolaboratif', 'inklusif']",implementasi kurikulum basis hasil ajar pusat mahasiswa kolaboratif inklusif
studi longitudinal oleh universitas indonesia menunjukkan peningkatan critical thinking skills mahasiswa melalui obe,"['studi', 'longitudinal', 'universitas', 'indonesia', 'tingkat', 'critical', 'thinking', 'skills', 'mahasiswa', 'obe']",studi longitudinal universitas indonesia tingkat critical thinking skills mahasiswa obe
perguruan tinggi teknik indonesia mulai mengadopsi obe criteria abet 2025 untuk standarisasi kurikulum,"['guru', 'teknik', 'indonesia', 'adopsi', 'obe', 'criteria', 'abet', '2025', 'standar', 'kurikulum']",guru teknik indonesia adopsi obe criteria abet 2025 standar kurikulum
international conference on outcome based education digelar di bandung dengan partisipasi 25 negara,"['international', 'conference', 'on', 'outcome', 'based', 'education', 'gelar', 'bandung', 'partisipasi', '25', 'negara']",international conference on outcome based education gelar bandung partisipasi 25 negara
program studi kedokteran hewan ipb mengintegrasikan animal welfare standards dalam kurikulum berbasis hasil,"['program', 'studi', 'dokter', 'hewan', 'ipb', 'integrasi', 'animal', 'welfare', 'standards', 'kurikulum', 'basis', 'hasil']",program studi dokter hewan ipb integrasi animal welfare standards kurikulum basis hasil
pendidikan berbasis hasil mendorong perguruan tinggi memperkuat kolaborasi dengan dunia industri dan masyarakat,"['didik', 'basis', 'hasil', 'dorong', 'guru', 'kuat', 'kolaborasi', 'dunia', 'industri', 'masyarakat']",didik basis hasil dorong guru kuat kolaborasi dunia industri masyarakat
implementasi obe mendorong pengembangan teaching and learning centers di perguruan tinggi indonesia,"['implementasi', 'obe', 'dorong', 'kembang', 'teaching', 'and', 'learning', 'centers', 'guru', 'indonesia']",implementasi obe dorong kembang teaching and learning centers guru indonesia
asosiasi fakultas ekonomi dan bisnis indonesia menyusun standar kompetensi lulusan berbasis obe secara nasional,"['asosiasi', 'fakultas', 'ekonomi', 'bisnis', 'indonesia', 'susun', 'standar', 'kompetensi', 'lulus', 'basis', 'obe', 'nasional']",asosiasi fakultas ekonomi bisnis indonesia susun standar kompetensi lulus basis obe nasional
perguruan tinggi vokasi di indonesia mengadopsi work based learning dalam implementasi kurikulum berbasis hasil,"['guru', 'vokasi', 'indonesia', 'adopsi', 'work', 'based', 'learning', 'implementasi', 'kurikulum', 'basis', 'hasil']",guru vokasi indonesia adopsi work based learning implementasi kurikulum basis hasil
pemetaan input dari stakeholders menjadi langkah krusial dalam pengembangan kurikulum berbasis hasil,"['meta', 'input', 'stakeholders', 'langkah', 'krusial', 'kembang', 'kurikulum', 'basis', 'hasil']",meta input stakeholders langkah krusial kembang kurikulum basis hasil
pendidikan berbasis hasil menekankan pada demonstrable competence bukan hanya pengetahuan teoretis,"['didik', 'basis', 'hasil', 'tekan', 'demonstrable', 'competence', 'tahu', 'teoretis']",didik basis hasil tekan demonstrable competence tahu teoretis
fakultas peternakan unhas mengimplementasikan kurikulum berbasis hasil dengan pendekatan community development,"['fakultas', 'terna', 'unhas', 'implementasi', 'kurikulum', 'basis', 'hasil', 'dekat', 'community', 'development']",fakultas terna unhas implementasi kurikulum basis hasil dekat community development
evaluasi kurikulum berbasis hasil memerlukan instrumen assessment yang valid reliable dan praktikal,"['evaluasi', 'kurikulum', 'basis', 'hasil', 'instrumen', 'assessment', 'valid', 'reliable', 'praktikal']",evaluasi kurikulum basis hasil instrumen assessment valid reliable praktikal
pusat pengembangan pendidikan kesehatan kemenkes mendukung implementasi obe di institusi pendidikan kesehatan,"['pusat', 'kembang', 'didik', 'sehat', 'kemenkes', 'dukung', 'implementasi', 'obe', 'institusi', 'didik', 'sehat']",pusat kembang didik sehat kemenkes dukung implementasi obe institusi didik sehat
british council indonesia menyelenggarakan workshop obe implementation for academic leaders di jakarta april 2025,"['british', 'council', 'indonesia', 'selenggara', 'workshop', 'obe', 'implementation', 'for', 'academic', 'leaders', 'jakarta', 'april', '2025']",british council indonesia selenggara workshop obe implementation for academic leaders jakarta april 2025
fakultas psikologi ui mengimplementasikan pendekatan scientist practitioner dalam kurikulum berbasis hasil,"['fakultas', 'psikologi', 'ui', 'implementasi', 'dekat', 'scientist', 'practitioner', 'kurikulum', 'basis', 'hasil']",fakultas psikologi ui implementasi dekat scientist practitioner kurikulum basis hasil
era industri 40 menuntut lulusan perguruan tinggi memiliki digital competence yang dikembangkan melalui obe,"['era', 'industri', '40', 'tuntut', 'lulus', 'guru', 'milik', 'digital', 'competence', 'kembang', 'obe']",era industri 40 tuntut lulus guru milik digital competence kembang obe
implementasi obe di prodi ilmu kelautan unhas meningkatkan kolaborasi riset dengan lembaga konservasi internasional,"['implementasi', 'obe', 'prodi', 'ilmu', 'laut', 'unhas', 'tingkat', 'kolaborasi', 'riset', 'lembaga', 'konservasi', 'internasional']",implementasi obe prodi ilmu laut unhas tingkat kolaborasi riset lembaga konservasi internasional
akademi komunitas kelautan bitung mengembangkan kurikulum berbasis hasil dengan dukungan industri perikanan,"['akademi', 'komunitas', 'laut', 'bitung', 'kembang', 'kurikulum', 'basis', 'hasil', 'dukung', 'industri', 'ikan']",akademi komunitas laut bitung kembang kurikulum basis hasil dukung industri ikan
